key,value
WRAP00868_E01_100,0
WRAP00868_E01_101,0
WRAP00868_E01_102,0
WRAP00868_E01_103,0
WRAP00868_E01_104,0
WRAP00868_E01_105,0
WRAP00868_E01_106,0
WRAP00868_E01_107,0
WRAP00868_E01_108,0
WRAP00868_E01_109,0
WRAP00868_E01_110,0
WRAP00868_E01_111,0
WRAP00868_E01_112,0
WRAP00868_E01_113,0
WRAP00868_E01_114,0
WRAP00868_E01_115,0
WRAP00868_E01_116,0
WRAP00868_E01_117,0
WRAP00868_E01_118,0
WRAP00868_E01_119,0
WRAP00868_E01_120,0
WRAP00868_E01_20,0
WRAP00868_E01_21,0
WRAP00868_E01_22,0
WRAP00868_E01_23,0
WRAP00868_E01_24,0
WRAP00868_E01_25,0
WRAP00868_E01_26,0
WRAP00868_E01_27,0
WRAP00868_E01_28,0
WRAP00868_E01_29,0
WRAP00868_E01_30,0
WRAP00868_E01_31,0
WRAP00868_E01_32,0
WRAP00868_E01_33,0
WRAP00868_E01_34,0
WRAP00868_E01_35,0
WRAP00868_E01_36,0
WRAP00868_E01_37,0
WRAP00868_E01_38,0
WRAP00868_E01_39,0
WRAP00868_E01_40,0
WRAP00868_E01_41,0
WRAP00868_E01_42,0
WRAP00868_E01_43,0
WRAP00868_E01_44,0
WRAP00868_E01_45,0
WRAP00868_E01_46,0
WRAP00868_E01_47,0
WRAP00868_E01_48,0
WRAP00868_E01_49,0
WRAP00868_E01_50,0
WRAP00868_E01_51,0
WRAP00868_E01_52,0
WRAP00868_E01_53,0
WRAP00868_E01_54,0
WRAP00868_E01_55,0
WRAP00868_E01_56,0
WRAP00868_E01_57,0
WRAP00868_E01_58,0
WRAP00868_E01_59,0
WRAP00868_E01_60,0
WRAP00868_E01_61,0
WRAP00868_E01_62,0
WRAP00868_E01_63,0
WRAP00868_E01_64,0
WRAP00868_E01_65,0
WRAP00868_E01_66,0
WRAP00868_E01_67,0
WRAP00868_E01_68,0
WRAP00868_E01_69,0
WRAP00868_E01_70,0
WRAP00868_E01_71,0
WRAP00868_E01_72,0
WRAP00868_E01_73,0
WRAP00868_E01_74,0
WRAP00868_E01_75,0
WRAP00868_E01_76,0
WRAP00868_E01_77,0
WRAP00868_E01_78,0
WRAP00868_E01_79,0
WRAP00868_E01_80,0
WRAP00868_E01_81,0
WRAP00868_E01_82,0
WRAP00868_E01_83,0
WRAP00868_E01_84,0
WRAP00868_E01_85,0
WRAP00868_E01_86,0
